"Source:","C:\Users\rabha\OneDrive\Documents\Projects\Ki CAD Projects\AMD-Xilinx-Z7-KiCAD-Ard_RPi_BB_v1\FPGAs-Ard_RPi_BB.kicad_sch"
"Date:","3/15/2023 7:32:26 PM"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","156"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Description","MANUFACTURER","MF","MP","PARTREV","Package","Price","Purchase-URL","STANDARD"
"1","14","BO_1, BO_2, BO_3, BO_4, BO_5, BO_6, BO_7, BO_8, BO_9, BO_12, BO_13, BO_14, BO_15, BO_16","Conn_01x40","Connector_Generic:Conn_01x40","Connector_PinHeader_1.00mm:PinHeader_1x40_P1.00mm_Vertical","~","","","","","","","","","","","",""
"2","5","C1, C2, C3, C4, C5","0.1uF, 10V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","","",""
"3","1","D1","PMEG2020EJ","Diode:PMEG2020EJ","Diode_SMD:D_SOD-323F","https://assets.nexperia.com/documents/data-sheet/PMEG2020EH_EJ.pdf","","","","","","","","","","","",""
"4","2","D2, D3","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","","","","","","","",""
"5","1","D4","DONE LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","","","","","","","",""
"6","6","DC_J1, DC_J2, DC_J3, PWR_OUT1, PWR_OUT2, TEST_VPP_J1","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","",""
"7","1","DC_PWR_J1","FC681478","DC JACK 1:FC681478","CONN3_FC681478_CLF","","","","","","","","","","","","",""
"8","1","DC_PWR_J2","ADC-H-010-1","DC JACK 2:ADC-H-010-1","CONN_ADC-H_ADM","","","","","","","","","","","","",""
"9","1","DC_PWR_J3","4840.2201","DC JACK 3:4840.2201","CONN_4840.2201_SCH","","","","","","","","","","","","",""
"10","1","Digilent_Cmod_S7","~","Digilent:Cmod_S7","Digilent:CMOD S7","","","","","","","","","","","","",""
"11","1","Ext_DC_PWR1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~","","","","","","","","","","","",""
"12","3","FPGA_J1, FPGA_J2, FPGA_J3","Conn_02x20_Odd_Even","Connector_Generic:Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","~","","","","","","","","","","","",""
"13","1","FPGA_PWR_J1","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","","","","",""
"14","9","H1, H2, H3, H4, H5, H6, H7, H8, H9","MountingHole-2.5mm","Mechanical:MountingHole","MountingHole:MountingHole_2.5mm","~","","","","","","","","","","","",""
"15","1","J_USB_uB1","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","~","","","","","","","","","","","",""
"16","1","J_USB_uB2","Conn_01x07","Connector_Generic:Conn_01x07","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~","","","","","","","","","","","",""
